id,node,Category
1,man,Noun
2,agreeable,Adjective
3,old,Adjective
4,person,Noun
5,short,Adjective
6,anything,Noun
7,arm,Adjective
8,round,Noun
9,first,Adjective
10,aunt,Noun
11,bad,Adjective
12,air,Noun
13,boy,Adjective
14,black,Adjective
15,beautiful,Adjective
16,face,Noun
17,letter,Noun
18,little,Adjective
19,young,Adjective
20,best,Adjective
21,course,Noun
22,friend,Noun
23,love,Noun
24,part,Noun
25,room,Noun
26,thing,Noun
27,time,Noun
28,way,Noun
29,better,Adjective
30,heart,Noun
31,mind,Noun
32,place,Noun
33,right,Adjective
34,state,Noun
35,woman,Noun
36,word,Noun
37,door,Noun
38,eye,Noun
39,bright,Adjective
40,evening,Noun
41,morning,Noun
42,certain,Adjective
43,day,Noun
44,other,Adjective
45,child,Noun
46,happy,Adjective
47,common,Adjective
48,dark,Noun
49,kind,Noun
50,night,Noun
51,dear,Noun
52,good,Adjective
53,home,Noun
54,mother,Noun
55,pretty,Adjective
56,open,Adjective
57,early,Adjective
58,fire,Noun
59,full,Adjective
60,great,Adjective
61,master,Noun
62,moment,Noun
63,work,Noun
64,general,Adjective
65,fancy,Adjective
66,voice,Noun
67,head,Noun
68,hope,Noun
69,long,Adjective
70,greater,Adjective
71,hand,Noun
72,hard,Adjective
73,red,Adjective
74,life,Noun
75,glad,Adjective
76,large,Adjective
77,new,Adjective
78,white,Adjective
79,late,Adjective
80,whole,Noun
81,light,Noun
82,manner,Noun
83,bed,Noun
84,house,Noun
85,low,Adjective
86,money,Noun
87,ready,Adjective
88,small,Adjective
89,strange,Adjective
90,thought,Noun
91,lost,Adjective
92,alone,Adjective
93,nothing,Noun
94,miserable,Adjective
95,natural,Adjective
96,half,Noun
97,wrong,Adjective
98,name,Noun
99,pleasant,Adjective
100,possible,Adjective
101,side,Noun
102,perfect,Adjective
103,poor,Adjective
104,quiet,Adjective
105,same,Adjective
106,strong,Adjective
107,something,Noun
108,TRUE,Noun
109,usual,Adjective
110,family,Noun
111,world,Noun
112,year,Noun
