F1,year,Country,incidents,killed,injured,kidnapped,arrested
0,2017,Afghanistan,66,8,6,16,9
1,2017,Burkina Faso,3,0,0,0,0
2,2017,CAR,52,9,1,0,4
3,2017,Cameroon,2,1,0,0,0
4,2017,DRC,20,6,2,3,0
5,2017,Egypt,8,0,0,0,0
6,2017,Ethiopia,2,0,0,0,0
7,2017,Iraq,35,8,18,2,1
8,2017,Libya,15,0,0,7,0
9,2017,Mali,14,0,1,7,0
10,2017,Myanmar,4,1,0,0,0
11,2017,Niger,4,0,0,0,0
12,2017,Nigeria,23,13,1,15,0
13,2017,OPT,93,0,21,0,38
14,2017,Pakistan,18,7,8,3,0
15,2017,Philippines,5,4,0,1,0
16,2017,Somalia,3,5,1,4,0
17,2017,South Sudan,37,12,9,6,6
18,2017,Sudan,13,1,1,0,1
19,2017,Syria,252,24,55,0,0
20,2017,Turkey,5,1,0,0,16
21,2017,Ukraine,3,1,2,0,0
22,2017,Yemen,24,0,0,0,16
46,2019,Afghanistan,101,25,15,6,1
48,2019,CAR,13,1,3,5,4
50,2019,DRC,434,24,64,16,2
62,2019,Sudan,37,3,3,4,73
63,2019,Syria,147,41,31,4,12
109,2021,Afghanistan,107,39,32,8,1
114,2021,Burkina Faso,46,10,11,36,2
116,2021,CAR,107,4,16,1,25
122,2021,DRC,127,5,26,28,34
125,2021,Ethiopia,55,8,5,6,3
139,2021,Myanmar,411,29,36,4,559
142,2021,Nigeria,49,6,5,30,2
143,2021,OPT,152,5,58,0,13
149,2021,South Sudan,29,12,12,2,5
158,2022,Afghanistan,81,26,31,8,31
159,2022,Armenia,4,1,0,1,0
160,2022,Burkina Faso,61,2,2,11,1
161,2022,CAR,27,3,6,3,0
162,2022,Cameroon,31,6,4,35,14
163,2022,Colombia,12,4,2,1,0
164,2022,DRC,125,10,18,50,3
165,2022,Ethiopia,12,3,2,0,2
166,2022,Haiti,9,1,0,10,1
167,2022,Honduras,2,0,1,0,0
168,2022,Iran,85,4,15,0,71
169,2022,Iraq,5,2,3,0,0
170,2022,Israel,1,0,0,0,0
171,2022,Kenya,3,0,0,4,0
172,2022,Libya,12,2,8,0,0
173,2022,Mali,46,5,4,26,4
174,2022,Mexico,14,3,2,5,0
175,2022,Morocco,1,0,3,0,0
176,2022,Mozambique,7,0,0,0,0
177,2022,Myanmar,271,27,23,5,112
178,2022,Niger,11,0,0,0,0
179,2022,Nigeria,43,7,4,37,1
180,2022,OPT,171,1,136,0,9
181,2022,Pakistan,16,5,4,3,0
182,2022,Philippines,2,1,0,0,1
183,2022,Somalia,12,2,0,6,1
184,2022,South Sudan,24,10,6,20,3
185,2022,Sudan,53,11,22,5,13
186,2022,Syria,42,10,4,5,19
187,2022,Thailand,1,1,0,0,0
188,2022,Ukraine,781,78,64,61,8
189,2022,Yemen,24,7,6,5,0
